# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 1708
0.000000 1604
0.000000 1527
0.000000 1450
0.000000 1344
0.001000 1274
0.001000 1212
0.001000 1161
0.001000 1114
0.001000 1062
0.002000 1018
0.002000 975
0.002000 935
0.002000 882
0.002000 848
0.002000 821
0.003000 787
0.003000 761
0.003000 735
0.003000 710
0.003000 688
0.003000 660
0.004000 638
0.004000 618
0.004000 603
0.004000 587
0.004000 571
0.005000 556
0.005000 547
0.005000 533
0.005000 524
0.005000 514
0.005000 506
0.006000 498
0.006000 488
0.006000 482
0.006000 478
0.006000 474
0.007000 471
0.007000 460
0.007000 458
0.007000 453
0.007000 452
# Final Best Cost: 452
