# Instance: eil51.tsp
# Method: simulated-annealing
# output: step cost
0 1596
0.000000 1479
0.000000 1479
0.000000 1479
0.000000 1479
0.000000 1479
0.000000 1417
0.000000 1412
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1380
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.000000 1351
0.001000 1351
0.001000 1351
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.001000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1315
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.002000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1299
0.003000 1266
0.003000 1266
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1256
0.003000 1193
0.003000 1193
0.003000 1193
0.003000 1193
0.003000 1193
0.003000 1193
0.003000 1193
0.003000 1193
0.004000 1193
0.004000 1193
0.004000 1193
0.004000 1193
0.004000 1193
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1169
0.004000 1153
0.004000 1153
0.004000 1153
0.004000 1153
0.004000 1153
0.004000 1153
0.004000 1153
