# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 1596
0.000000 1474
0.000000 1373
0.000000 1289
0.000000 1222
0.000000 1155
0.001000 1110
0.001000 1066
0.001000 1024
0.001000 984
0.001000 949
0.001000 904
0.002000 873
0.002000 848
0.002000 824
0.002000 805
0.002000 791
0.002000 782
0.002000 769
0.003000 755
0.003000 744
0.003000 732
0.003000 722
0.003000 713
0.003000 705
0.004000 696
0.004000 674
0.004000 661
0.004000 654
0.004000 648
0.004000 642
0.004000 637
0.005000 632
0.005000 624
0.005000 620
0.005000 616
0.005000 612
0.005000 609
0.006000 606
0.006000 602
0.006000 600
0.006000 598
0.006000 597
0.006000 596
0.006000 595
0.007000 591
# Final Best Cost: 591
