# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 1711
0.000000 1608
0.000000 1523
0.000000 1445
0.000000 1371
0.001000 1295
0.001000 1223
0.001000 1154
0.001000 1096
0.001000 1046
0.002000 988
0.002000 947
0.002000 906
0.002000 868
0.002000 833
0.003000 802
0.003000 771
0.003000 745
0.003000 711
0.003000 682
0.003000 656
0.004000 631
0.004000 612
0.004000 598
0.004000 585
0.004000 571
0.005000 559
0.005000 540
0.005000 529
0.005000 519
0.005000 511
0.006000 504
0.006000 499
0.006000 494
0.006000 489
0.006000 485
0.006000 481
0.007000 477
0.007000 469
0.007000 465
0.007000 461
0.007000 458
0.008000 457
0.008000 456
# Final Best Cost: 456
