# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 1637
0.000000 1504
0.000000 1406
0.000000 1316
0.000000 1240
0.001000 1170
0.001000 1113
0.001000 1061
0.001000 1021
0.001000 990
0.001000 960
0.002000 932
0.002000 908
0.002000 884
0.002000 865
0.002000 846
0.002000 831
0.002000 811
0.003000 800
0.003000 788
0.003000 776
0.003000 765
0.003000 754
0.003000 744
0.004000 734
0.004000 716
0.004000 706
0.004000 697
0.004000 691
0.004000 682
0.004000 676
0.005000 672
0.005000 665
0.005000 655
0.005000 648
0.005000 644
0.005000 642
0.005000 640
0.006000 636
0.006000 635
0.006000 634
0.006000 633
0.006000 632
0.006000 628
