# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 1602
0.000000 1520
0.000000 1440
0.000000 1364
0.001000 1290
0.001000 1230
0.001000 1172
0.001000 1116
0.002000 1058
0.002000 1007
0.003000 957
0.003000 915
0.003000 875
0.003000 836
0.003000 799
0.004000 765
0.004000 731
0.004000 703
0.004000 680
0.004000 658
0.004000 636
0.005000 616
0.005000 602
0.005000 588
0.005000 576
0.005000 561
0.006000 545
0.006000 533
0.006000 522
0.006000 512
0.006000 502
0.006000 493
0.007000 484
0.007000 476
0.007000 468
0.007000 459
0.007000 453
0.008000 447
0.008000 443
0.008000 440
0.008000 439
# Final Best Cost: 439
