# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 1535
0.000000 1418
0.000000 1333
0.000000 1262
0.001000 1204
0.001000 1147
0.001000 1097
0.001000 1049
0.001000 1012
0.001000 975
0.002000 939
0.002000 904
0.002000 870
0.002000 838
0.002000 808
0.002000 785
0.002000 767
0.003000 746
0.003000 709
0.003000 694
0.003000 682
0.003000 669
0.003000 651
0.004000 643
0.004000 637
0.004000 631
0.004000 625
0.004000 617
0.004000 611
0.004000 606
0.005000 599
0.005000 594
0.005000 591
0.006000 588
0.006000 586
0.006000 584
0.006000 583
0.007000 582
0.007000 581
0.007000 563
0.007000 560
# Final Best Cost: 560
