# Instance: usa13509.tsp
# Method: simulated-annealing
# output: step cost
0 224760
0.088000 224760
0.172000 224760
0.253000 224760
0.336000 224760
0.416000 224760
0.503000 224760
0.609000 224760
0.719000 224760
0.808000 224760
0.892000 224760
0.978000 224760
1.064000 224760
1.150000 224760
1.233000 224760
1.320000 224760
1.405000 224760
1.490000 224760
1.572000 224760
1.655000 224760
1.737000 224760
1.821000 224760
1.904000 224760
1.986000 224760
2.070000 224760
2.154000 224760
2.236000 224760
2.318000 224760
2.401000 224760
2.483000 224760
2.566000 224760
2.649000 224760
2.730000 224760
2.814000 224760
2.897000 224760
2.979000 224760
3.061000 224760
3.143000 224760
3.226000 224760
3.307000 224760
3.388000 224760
3.471000 224760
3.552000 224760
3.673000 224760
3.761000 224760
3.845000 224760
3.925000 224760
4.007000 224760
4.089000 224760
4.172000 224760
4.254000 224760
4.337000 224760
4.419000 224760
4.500000 224760
4.582000 224760
4.663000 224760
4.745000 224760
4.829000 224760
4.911000 224760
4.994000 224760
5.077000 224760
5.160000 224760
5.242000 224760
5.324000 224760
5.406000 224760
5.487000 224760
5.570000 224760
5.654000 224760
5.739000 224760
5.820000 224760
5.902000 224760
5.985000 224760
6.066000 224760
6.148000 224760
6.232000 224760
6.314000 224760
6.397000 224760
6.480000 224760
6.563000 224760
6.646000 224760
6.729000 224760
6.810000 224760
6.892000 224760
6.974000 224760
7.055000 224760
7.137000 224760
7.222000 224760
7.304000 224760
7.388000 224760
7.471000 224760
7.551000 224760
7.632000 224760
7.715000 224760
7.797000 224760
7.876000 224760
7.958000 224760
8.040000 224760
8.122000 224760
8.203000 224760
8.285000 224760
8.367000 224760
8.449000 224760
8.531000 224760
8.612000 224760
8.697000 224760
8.778000 224760
8.858000 224760
8.939000 224760
9.020000 224760
9.100000 224760
9.182000 224760
9.266000 224760
9.348000 224760
9.431000 224760
9.511000 224760
9.593000 224760
9.675000 224760
9.757000 224760
9.837000 224760
9.918000 224760
10.001000 224760
10.080000 224760
10.162000 224760
10.252000 224760
10.334000 224760
10.415000 224760
10.498000 224760
10.578000 224760
10.661000 224760
10.745000 224760
10.828000 224760
10.911000 224760
10.993000 224760
11.074000 224760
11.156000 224760
11.239000 224760
11.321000 224760
11.404000 224760
11.486000 224760
11.569000 224760
11.652000 224760
11.736000 224760
11.819000 224760
11.900000 224760
11.983000 224760
12.064000 224760
12.146000 224760
12.230000 224760
12.310000 224760
12.392000 224760
12.474000 224760
12.592000 224760
12.674000 224760
12.758000 224760
12.838000 224760
12.920000 224760
13.003000 224760
13.086000 224760
13.167000 224760
13.249000 224760
13.335000 224760
13.423000 224760
13.509000 224760
13.597000 224760
13.683000 224760
13.767000 224760
13.851000 224760
13.935000 224760
14.021000 224760
14.107000 224760
14.194000 224760
14.280000 224760
14.364000 224760
14.447000 224760
14.533000 224760
14.617000 224760
14.697000 224760
14.781000 224760
14.865000 224760
14.946000 224760
15.028000 224760
15.110000 224760
15.192000 224760
15.276000 224760
15.363000 224760
15.448000 224760
15.534000 224760
15.621000 224760
15.707000 224760
15.796000 224760
15.882000 224760
15.969000 224760
16.055000 224760
16.137000 224760
16.220000 224760
16.307000 224760
16.395000 224760
16.475000 224760
16.576000 224760
16.661000 224760
16.746000 224760
16.832000 224760
16.916000 224760
17.000000 224760
17.085000 224760
17.168000 224760
17.251000 224760
17.337000 224760
17.421000 224760
17.505000 224760
17.588000 224760
17.670000 224760
17.753000 224760
17.837000 224760
17.922000 224760
18.005000 224760
18.092000 224760
18.180000 224760
18.263000 224760
18.346000 224760
18.428000 224760
18.511000 224760
18.594000 224760
18.678000 224760
18.761000 224760
18.845000 224760
18.927000 224760
19.007000 224760
19.087000 224760
19.168000 224760
19.250000 224760
19.333000 224760
19.416000 224760
19.497000 224760
19.579000 224760
19.661000 224760
19.743000 224760
19.825000 224760
19.908000 224760
19.986000 224760
20.068000 224760
20.149000 224760
20.234000 224760
20.314000 224760
20.396000 224760
20.479000 224760
20.561000 224760
20.641000 224760
20.724000 224760
20.805000 224760
20.887000 224760
20.969000 224760
21.049000 224760
21.130000 224760
21.211000 224760
21.292000 224760
21.375000 224760
21.457000 224760
21.540000 224760
21.622000 224760
21.704000 224760
21.786000 224760
21.875000 224760
21.957000 224760
22.039000 224760
22.119000 224760
22.203000 224760
22.288000 224760
22.371000 224760
22.454000 224760
22.536000 224760
22.616000 224760
22.699000 224760
22.779000 224760
22.860000 224760
22.941000 224760
23.023000 224760
23.104000 224760
23.191000 224760
23.273000 224760
23.354000 224760
23.435000 224760
23.517000 224760
23.599000 224760
23.683000 224760
23.763000 224760
23.844000 224760
23.925000 224760
24.009000 224760
24.094000 224760
24.178000 224760
24.263000 224760
24.348000 224760
24.432000 224760
24.517000 224760
24.603000 224760
24.693000 224760
24.778000 224760
24.862000 224760
24.948000 224760
25.033000 224760
25.114000 224760
25.195000 224760
25.276000 224760
25.358000 224760
25.440000 224760
25.522000 224760
25.603000 224760
25.684000 224760
25.766000 224760
25.848000 224760
25.933000 224760
26.015000 224760
26.097000 224760
26.179000 224760
26.261000 224760
26.344000 224760
26.426000 224760
26.509000 224760
26.592000 224760
26.674000 224760
26.757000 224760
26.848000 224760
26.934000 224760
27.015000 224760
27.104000 224760
27.186000 224760
27.274000 224760
27.360000 224760
27.449000 224760
27.537000 224760
27.625000 224760
27.716000 224760
27.815000 224760
27.912000 224760
28.005000 224760
28.094000 224760
28.185000 224760
28.281000 224760
28.374000 224760
28.464000 224760
28.548000 224760
28.632000 224760
28.716000 224760
28.800000 224760
28.883000 224760
28.967000 224760
29.049000 224760
29.133000 224760
29.216000 224760
29.298000 224760
29.380000 224760
29.462000 224760
29.546000 224760
29.627000 224760
29.707000 224760
29.788000 224760
29.871000 224760
29.953000 224760
30.036000 224760
30.118000 224760
30.198000 224760
30.280000 224760
30.363000 224760
30.445000 224760
30.527000 224760
30.607000 224760
30.689000 224760
30.771000 224760
30.855000 224760
30.937000 224760
31.021000 224760
31.105000 224760
31.187000 224760
31.269000 224760
31.352000 224760
31.435000 224760
31.518000 224760
31.600000 224760
31.682000 224760
31.763000 224760
31.845000 224760
31.926000 224760
32.007000 224760
32.088000 224760
32.169000 224760
32.249000 224760
32.330000 224760
32.412000 224760
32.493000 224760
32.577000 224760
32.661000 224760
32.744000 224760
32.828000 224760
32.909000 224760
32.992000 224760
33.073000 224760
33.156000 224760
33.237000 224760
33.321000 224760
33.404000 224760
33.487000 224760
33.569000 224760
33.653000 224760
33.735000 224760
33.818000 224760
33.900000 224760
33.984000 224760
34.067000 224760
34.149000 224760
34.230000 224760
34.314000 224760
34.398000 224760
34.482000 224760
34.565000 224760
34.648000 224760
34.730000 224760
34.812000 224760
34.894000 224760
34.978000 224760
35.060000 224760
35.142000 224760
35.224000 224760
35.307000 224760
35.391000 224760
35.473000 224760
35.556000 224760
35.638000 224760
35.721000 224760
35.803000 224760
35.885000 224760
35.968000 224760
36.053000 224760
36.134000 224760
36.216000 224760
36.297000 224760
36.378000 224760
36.460000 224760
36.541000 224760
36.625000 224760
36.708000 224760
36.792000 224760
36.875000 224760
36.959000 224760
37.044000 224760
37.128000 224760
37.210000 224760
37.293000 224760
37.377000 224760
