# Instance: eil101.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 3311
0.001000 3173
0.002000 3046
0.003000 2936
0.005000 2829
0.006000 2724
0.007000 2631
0.008000 2542
0.009000 2458
0.011000 2389
0.012000 2321
0.013000 2259
0.014000 2199
0.015000 2144
0.016000 2098
0.018000 2054
0.019000 2001
0.020000 1958
0.021000 1916
0.022000 1877
0.023000 1840
0.024000 1806
0.026000 1772
0.027000 1738
0.028000 1718
0.029000 1698
0.030000 1676
0.031000 1650
0.032000 1628
0.034000 1608
0.035000 1588
0.036000 1568
0.037000 1549
0.038000 1529
0.039000 1501
0.041000 1475
0.042000 1456
0.043000 1439
0.044000 1423
0.046000 1406
0.047000 1393
0.048000 1375
0.049000 1362
0.050000 1349
0.051000 1336
0.052000 1323
0.053000 1310
0.055000 1296
0.056000 1286
0.057000 1276
0.058000 1267
0.059000 1259
0.060000 1252
0.061000 1245
0.062000 1238
0.063000 1232
0.064000 1226
0.065000 1217
0.067000 1210
0.068000 1205
0.069000 1200
0.070000 1196
0.071000 1192
0.072000 1188
0.073000 1171
0.074000 1163
0.075000 1155
0.077000 1152
0.078000 1149
0.079000 1146
0.080000 1143
0.081000 1141
0.082000 1139
0.083000 1135
0.084000 1133
0.085000 1131
0.086000 1129
0.087000 1127
0.089000 1125
0.090000 1123
0.091000 1122
0.092000 1121
0.093000 1119
0.094000 1118
0.095000 1117
0.096000 1113
0.097000 1112
0.099000 1111
0.100000 1110
0.101000 1106
0.102000 1104
0.103000 1103
# Final Best Cost: 1103
